"project_id";"project_name";"app_id";"app_name";"first_seen_at";"last_seen_at";"last_seen_app_version";"last_seen_ip_country";"last_seen_platform";"last_seen_platform_version";"last_seen_sdk_version";"last_seen_locale";"price_experiment_id";"price_experiment_variant";"email";"phone_number";"media_source";"campaign";"ad_group";"ad";"keyword";"creative";"idfa";"idfv";"gps_ad_id";"custom_attributes";"has_made_sandbox_purchase";"latest_entitlement";"latest_entitlements";"latest_product";"is_rc_promo";"first_purchase_at";"trial_start_at";"trial_end_at";"most_recent_purchase_at";"most_recent_renewal_at";"latest_expiration_at";"subscription_opt_out_at";"trial_opt_out_at";"total_renewals";"total_spent";"latest_store";"latest_store_country";"latest_auto_renew_intent";"all_purchased_product_ids";"most_recent_billing_issues_at";"status";"has_made_a_non_subscription_purchase";"latest_offer";"latest_offer_type";"latest_purchased_offering";"latest_ownership_type";"app_user_id";"currency"
"64e4e5d3";"360 Photo";"appceea5b82bb";"360 Photo Cam (Play Store)";1749649329008;1752444248000;"2.0.3";"BR";"android";"35";"7.12.0";"pt-BR";;;;;;;;;;;;;;;"f";;"";"credit_1";false;1749733367913;;;1749733367913;;;;;0;1.352644790782511;"play_store";"BR";"f";"credit_1";;;"t";;"no_offer";"main_offering";"PURCHASED";"684987af0a3c31f87879b411";"USD"
"64e4e5d3";"360 Photo";"appa7ef959a0b";"360 Photo Cam (App Store)";1751819728562;1751819728000;"2.0.5";"BR";"iOS";"Version 18.5 (Build 22F76)";"4.43.2";"pt-BR,pt;q=0.9";;;;;;;;;;;;;;;"f";;"";"com.dospace.photo360.1credit";false;1751829025000;;;1751829025000;;;;;0;1.457080674314803;"app_store";"BR";"f";"com.dospace.photo360.1credit";;;"t";;"no_offer";"main_offering";"PURCHASED";"7a17a512-e635-4179-b7fd-b955095b691d";"USD"
"64e4e5d3";"360 Photo";"appa7ef959a0b";"360 Photo Cam (App Store)";1756132609602;1756236238000;"2.0.8";"GB";"iOS";"Version 18.5 (Build 22F76)";"4.43.2";"en-GB,en;q=0.9";;;;;;;;;;;;;;;"f";;"";"com.dospace.photo360.1credit";false;1756135518000;;;1756135518000;;;;;0;2.686567970169645;"app_store";"GB";"f";"com.dospace.photo360.1credit";;;"t";;"no_offer";"main_offering";"PURCHASED";"69ef624a-2de4-44a7-9c32-5076b01e5007";"USD"
"64e4e5d3";"360 Photo";"appceea5b82bb";"360 Photo Cam (Play Store)";1754257923551;1755798637000;"2.0.6";"US";"android";"36";"7.12.0";"en-US";;;;;;;;;;;;;;;"f";;"";"credit_1";false;1755129740346;;;1755129740346;;;;;0;1.990000000000000;"play_store";"US";"f";"credit_1";;;"t";;"no_offer";"main_offering";"PURCHASED";"15614283-a8a0-49db-9f00-54c45496b303";"USD"
"64e4e5d3";"360 Photo";"appa7ef959a0b";"360 Photo Cam (App Store)";1756661058878;1756661058000;"2.0.8";"US";"iOS";"Version 18.6.2 (Build 22G100)";"4.43.2";"en-GB,en;q=0.9";;;;;;;;;;;;;;;"f";;"";"com.dospace.photo360.1credit";false;1756661404000;;;1756661404000;;;;;0;2.687395171331571;"app_store";"GB";"f";"com.dospace.photo360.1credit";;;"t";;"no_offer";"main_offering";"PURCHASED";"4b7f40d9-6c74-486f-bdcd-403922adb959";"USD"
"64e4e5d3";"360 Photo";"appa7ef959a0b";"360 Photo Cam (App Store)";1750713027649;1752569706000;"2.0.5";"PL";"iOS";"Version 18.5 (Build 22F76)";"4.43.2";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"";"com.dospace.photo360.1credit";false;1750925145000;;;1750925145000;;;;;0;1.371725143666904;"app_store";"PL";"f";"com.dospace.photo360.1credit";;;"t";;"no_offer";"main_offering";"PURCHASED";"6859c2c2cea3c24f1af12634";"USD"
"64e4e5d3";"360 Photo";"appa7ef959a0b";"360 Photo Cam (App Store)";1749303056418;1749417991000;"2.0.3";"BR";"iOS";"Version 16.3.1 (Build 20D67)";"4.43.2";"pt-BR,pt;q=0.9";;;;;;;;;;;;;;;"f";;"";"com.dospace.photo360.1credit";false;1749418097000;;;1749418097000;;;;;0;1.420786648202435;"app_store";"BR";"f";"com.dospace.photo360.1credit";;;"t";;"no_offer";"main_offering";"PURCHASED";"68443f0e9fb7f6751bae6f0c";"USD"
"64e4e5d3";"360 Photo";"appceea5b82bb";"360 Photo Cam (Play Store)";1752852499743;1755731336000;"2.0.6";"BR";"android";"35";"7.12.0";"pt-BR";;;;;;;;;;;;;;;"f";;"";"credits_20";false;1754318100812;;;1755041598060;;;;;0;34.282923426536113;"play_store";"BR";"f";"credit_1,credits_20";;;"t";;"no_offer";"main_offering";"PURCHASED";"9124d3c0-99df-4399-8884-4fddf6bd48fb";"USD"
"64e4e5d3";"360 Photo";"appa7ef959a0b";"360 Photo Cam (App Store)";1753797801370;1754407350000;"2.0.7";"BG";"iOS";"Version 26.0 (Build 23A5297m)";"4.43.2";"bg-BG,bg;q=0.9";;;;;;;;;;;;;;;"f";;"";"com.dospace.photo360.1credit";false;1754301897000;;;1754301897000;;;;;0;2.364560745802609;"app_store";"BG";"f";"com.dospace.photo360.1credit";;;"t";;"no_offer";"main_offering";"PURCHASED";"a2d30a79-49b5-46dc-ac18-dbf213f2bcc4";"USD"
"64e4e5d3";"360 Photo";"appa7ef959a0b";"360 Photo Cam (App Store)";1755260314217;1755260314000;"2.0.7";"CZ";"iOS";"Version 18.6 (Build 22G86)";"4.43.2";"en-GB,en;q=0.9";;;;;;;;;;;;;;;"f";;"";"com.dospace.photo360.1credit";false;1755263552000;;;1755263552000;;;;;0;2.330226475662282;"app_store";"CZ";"f";"com.dospace.photo360.1credit";;;"t";;"no_offer";"main_offering";"PURCHASED";"ccfa0b89-d86d-4cf2-8ab5-d27cc85b067a";"USD"
